URL;favicon_redirection;request_url_cross_site;iframe;submitting_information_to_email;url_of_anchor_cross_site;number_of_images;security_WOT_status;links_in_tags;ip_address_in_domain;long_url_character;prefix_suffix_in_domain;number_of_subdomain;https_lookup;registration_url_in_WHOIS;domain_registration_length;age_of_domain;result
https://allegrolokalnie.club/login/form?authorization_uri=https:%2F%2Fallegrolokalnie.club%2Fpayment%3Fid%3D2837465905;cross site;> 65%;menggunakan;menggunakan fungsi mailto;> 67%;< 10;tidak aman;> 81%;tidak memiliki;panjang;tidak menggunakan;>= 0 dan < 2;memiliki;tidak terdaftar;<= 1 tahun;<= 5 bulan;phishing
https://allegrolokalnie.club/product?id=2837465905;cross site;> 65%;menggunakan;menggunakan fungsi mailto;> 67%;< 10;tidak aman;> 81%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;tidak terdaftar;<= 1 tahun;<= 5 bulan;phishing
http://34.95.239.208/promocao.php;cross site;>= 22% dan <= 65%;tidak menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;< 17%;memiliki;pendek;tidak menggunakan;> 2;tidak memiliki;terdaftar;<= 1 tahun;<= 5 bulan;phishing
http://magazineluizasaldao.com/045atggynmay!004ajn/index.php?o-de-panelas-tramontina-antiaderente-de-aluminio-vermelho-10-pecas-turim-20298-722/p/144129900/ud/panl/?origin=aut&id=1;cross site;> 65%;menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;>= 17% dan <= 81%;tidak memiliki;panjang;tidak menggunakan;>= 0 dan < 2;tidak memiliki;terdaftar;<= 1 tahun;<= 5 bulan;phishing
http://janeiroliquidadopromo.com/2144akjhc014akyr8870/index.php?&id=1;cross site;> 65%;menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;>= 17% dan <= 81%;tidak memiliki;menengah;tidak menggunakan;>= 0 dan < 2;tidak memiliki;tidak terdaftar;<= 1 tahun;<= 5 bulan;phishing
http://magaluiza.site/promocao.php;cross site;>= 22% dan <= 65%;tidak menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;tidak memiliki;tidak terdaftar;<= 1 tahun;<= 5 bulan;phishing
http://35.226.135.48/1840aigaga2518100074/index.php?id=1;cross site;> 65%;menggunakan;tidak menggunakan fungsi mailto;> 67%;> 20;tidak aman;>= 17% dan <= 81%;memiliki;menengah;tidak menggunakan;> 2;memiliki;tidak terdaftar;<= 1 tahun;<= 5 bulan;phishing
http://48.135.226.35.bc.googleusercontent.com/1840aigaga2518100074/index.php?&id=1;cross site;> 65%;menggunakan;tidak menggunakan fungsi mailto;> 67%;> 20;tidak aman;>= 17% dan <= 81%;memiliki;panjang;tidak menggunakan;> 2;memiliki;tidak terdaftar;<= 1 tahun;> 5 bulan;phishing
https://liquidacaolojapromocionaloficial.com/0244a0588880041auff0/index.php?o-de-panelas-tramontina-turim-antiaderente-vermelha-10-pecas/p/6697590/ud/panl/&id=1;cross site;> 65%;menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;>= 17% dan <= 81%;tidak memiliki;panjang;tidak menggunakan;>= 0 dan < 2;tidak memiliki;tidak terdaftar;<= 1 tahun;<= 5 bulan;phishing
http://sualiquidacaomagapromo.com/1840aigaga2518100074/index.php?&id=1;cross site;> 65%;menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;>= 17% dan <= 81%;tidak memiliki;menengah;tidak menggunakan;>= 0 dan < 2;tidak memiliki;tidak terdaftar;<= 1 tahun;<= 5 bulan;phishing
https://magazineluiza.descontosparavoce.com/promocao.php;cross site;>= 22% dan <= 65%;tidak menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;< 17%;tidak memiliki;menengah;tidak menggunakan;>= 0 dan < 2;tidak memiliki;terdaftar;<= 1 tahun;<= 5 bulan;phishing
http://191.239.241.99:64000/netshoes/api.php;on site;>= 22% dan <= 65%;menggunakan;tidak menggunakan fungsi mailto;>= 31% dan <= 67%;< 10;tidak aman;> 81%;memiliki;pendek;tidak menggunakan;> 2;memiliki;terdaftar;<= 1 tahun;<= 5 bulan;phishing
https://oferta-especial-do-dia.website/magazineluiza.com.br-15147551/index.php?&id=1;cross site;>= 22% dan <= 65%;menggunakan;menggunakan fungsi mailto;> 67%;> 20;tidak aman;> 81%;tidak memiliki;panjang;menggunakan;>= 0 dan < 2;tidak memiliki;tidak terdaftar;<= 1 tahun;<= 5 bulan;phishing
https://masesquentamagazine.com/22405a7jvbbgteklaopjnm/index.php?&id=2;cross site;> 65%;menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;>= 17% dan <= 81%;tidak memiliki;panjang;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;<= 1 tahun;<= 5 bulan;phishing
https://www65.ano-novo-prime.com/prodc83c2a62f8df09ab8aa4b819b5284d0clnk/ar-condicionado-split-hi-wall-12000-btus-electrolux-eco-turbo-q-f-220v-ve12r/p/6380150/ar/arar;on site;> 65%;menggunakan;tidak menggunakan fungsi mailto;> 67%;>= 10 dan <= 20;tidak aman;< 17%;tidak memiliki;panjang;menggunakan;>= 0 dan < 2;memiliki;terdaftar;<= 1 tahun;<= 5 bulan;phishing
https://www39.inicio-de-ano-premiado.com/prodc78d0dad28fdf230fa346f069ae77e97lnk/smartphone-samsung-galaxy-j6-32gb-dual-android-8-1-tela-6-3gb-camera-13mp-5mp-frontal-8mp-vermelho/p/ej15e481jc/te/galx;on site;> 65%;menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;< 17%;tidak memiliki;panjang;menggunakan;>= 0 dan < 2;memiliki;tidak terdaftar;<= 1 tahun;<= 5 bulan;phishing
http://magazineluizavirou.com/25181aihj521800084/index.php;cross site;>= 22% dan <= 65%;tidak menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;< 17%;tidak memiliki;menengah;tidak menggunakan;>= 0 dan < 2;tidak memiliki;terdaftar;<= 1 tahun;<= 5 bulan;phishing
http://magazineluizapromocionall.com/1840aigaga2518100074/index.php?rtphone-samsung-galaxy-a50-128gb-branco-4g-4gb-ram-tela-64-cam-tripla-cam-selfie-25mp/p/155558900/te/sga5/&id=1;cross site;> 65%;menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;< 17%;tidak memiliki;panjang;tidak menggunakan;>= 0 dan < 2;tidak memiliki;tidak terdaftar;<= 1 tahun;<= 5 bulan;phishing
https://limpaestoquepromocoes.xyz/00448541a094841f0644/index.php?&id=1;cross site;> 65%;menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;< 17%;tidak memiliki;menengah;tidak menggunakan;>= 0 dan < 2;tidak memiliki;tidak terdaftar;<= 1 tahun;<= 5 bulan;phishing
http://www.magazineluizaparavoce.com.br/promocao.php;cross site;>= 22% dan <= 65%;tidak menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;< 17%;tidak memiliki;pendek;tidak menggunakan;2;tidak memiliki;tidak terdaftar;<= 1 tahun;<= 5 bulan;phishing
https://magazineluizaparavoce.com.br/promocao.php;cross site;>= 22% dan <= 65%;tidak menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;tidak memiliki;terdaftar;<= 1 tahun;<= 5 bulan;phishing
http://magaluoutlet.com/22405a7jvbbgteklaopjnm/index.php?o-de-panelas-tramontina-antiaderente-de-aluminio-vermelho-10-pecas-turim-20298-722/p/144129900/ud/panl/?origin=aut&id=1;on site;>= 22% dan <= 65%;menggunakan;tidak menggunakan fungsi mailto;>= 31% dan <= 67%;< 10;tidak aman;< 17%;tidak memiliki;panjang;tidak menggunakan;>= 0 dan < 2;tidak memiliki;terdaftar;<= 1 tahun;<= 5 bulan;phishing
http://magaluoutlet.com/6akloia01744a577004/index.php?o-de-panelas-tramontina-antiaderente-de-aluminio-vermelho-10-pecas-turim-20298-722/p/144129900/ud/panl/?origin&id=1;on site;>= 22% dan <= 65%;menggunakan;tidak menggunakan fungsi mailto;>= 31% dan <= 67%;< 10;tidak aman;< 17%;tidak memiliki;panjang;tidak menggunakan;>= 0 dan < 2;tidak memiliki;terdaftar;<= 1 tahun;<= 5 bulan;phishing
http://magazineluizavirou.com/promocao.php;cross site;>= 22% dan <= 65%;tidak menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;tidak memiliki;terdaftar;<= 1 tahun;<= 5 bulan;phishing
http://promo-2020.com/promocao.php;cross site;>= 22% dan <= 65%;tidak menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;< 17%;tidak memiliki;pendek;menggunakan;>= 0 dan < 2;tidak memiliki;terdaftar;<= 1 tahun;<= 5 bulan;phishing
https://promo4kjaneiro.bounceme.net/megaoferta/TV-60/;on site;> 65%;menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;>= 17% dan <= 81%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;tidak memiliki;terdaftar;<= 1 tahun;<= 5 bulan;phishing
http://mulheresmaravi.com/Pohhgasjvvvsa_s/index.php?tadeira-eletrica-sem-oleo-air-fryer-philco-air-fry-saude-preta-3l-com-timer/p/215689600/ep/efso/&id=2;on site;> 65%;menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;>= 17% dan <= 81%;tidak memiliki;panjang;tidak menggunakan;>= 0 dan < 2;tidak memiliki;terdaftar;<= 1 tahun;<= 5 bulan;phishing
https://oferta-especial-de-2020.online/magazineluiza.com.br-48656214/index.php?&id=1;cross site;>= 22% dan <= 65%;menggunakan;menggunakan fungsi mailto;> 67%;> 20;tidak aman;> 81%;tidak memiliki;panjang;menggunakan;>= 0 dan < 2;tidak memiliki;tidak terdaftar;<= 1 tahun;<= 5 bulan;phishing
http://magaziinenovas.black/25181aihj521800084/index.php?&id=2;cross site;> 65%;menggunakan;tidak menggunakan fungsi mailto;> 67%;> 20;tidak aman;>= 17% dan <= 81%;tidak memiliki;menengah;tidak menggunakan;>= 0 dan < 2;tidak memiliki;terdaftar;<= 1 tahun;<= 5 bulan;phishing
